Lake,RUN,Identifier,Code,Species,Identifier2,Amount,d13C,d13C',d15N,%C,%N,C/N,Untreated d2H,Treated d2H,Teated-Untreated,MC2 Muscle,MC2 resids,LN model,LN resid,,
Inari,11,09IG27,09IG27,Grayling,0,0.532,-23.52495924,-23.05895572,7.89340616,46.110253,14.36116647,3.210759593,-130.8088002,-126.4163535,4.392446671,7.37784454,2.985397869,8.950539622,4.558092951,,
Inari,11,09IP15,09IP15,Pike,0,0.559,-24.22341362,-23.72084351,10.04117689,46.02908202,14.25807177,3.228282391,-124.723866,-120.5883466,4.135519412,7.921692843,3.786173431,9.49074796,5.355228548,,
Inari,11,09IP16,09IP16,Pike,0,0.584,-25.39433361,-25.09841234,9.190492873,46.01155765,14.69194083,3.131754898,-124.2510569,-121.5777876,2.673269264,4.848184051,2.174914787,6.477723008,3.804453744,,
Inari,11,09IP22,09IP22,Pike,0,0.567,-25.14984167,-24.64154859,10.07614613,46.39573508,14.35936957,3.231042621,-123.3212605,-117.5479416,5.77331886,8.006809153,2.233490293,9.575575364,3.802256504,,
Inari,11,09IP24,09IP24,Pike,0,0.598,-23.87047014,-23.48961473,9.729435313,46.04217217,14.52112547,3.17070273,-120.6412189,-117.2683751,3.372843788,6.111435005,2.738591217,7.70447535,4.331631562,,
Inari,11,09IS3,09IS3sb,Stickleback,koko kala,0.594,-22.38713447,-20.12375534,6.628147521,45.50017091,10.3647893,4.389879004,-156.6433879,-128.3301273,28.31326063,34.10465483,5.791394196,39.99660746,11.68334683,,
Inari,12,09IS8,09IS8sb,Stickleback,0,0.563,-29.24436683,-26.04698199,9.210007684,47.72498252,8.775119428,5.438670426,-159.1859593,-111.5568117,47.62914758,47.9890185,0.359870924,61.26008557,13.63093799,,
Inari,12,09IS17,09IS17sb,Stickleback,0,0.551,-24.1129501,-21.78069994,6.837619488,45.10453906,10.12904958,4.45298828,-158.6380211,-123.4884057,35.14961537,35.12854826,-0.021067106,41.4133322,6.263716826,,
Inari,12,09IS19,09IS19sb,Stickleback,0,0.573,-25.3434657,-22.1119945,7.985793917,47.6252589,8.680148693,5.486686989,-173.3276165,-123.9799635,49.34765298,48.49567117,-0.851981813,62.13252689,12.78487391,,
Inari,12,09IDL25,09IDL25,DL Whitefish,0,0.595,-27.83011576,-27.13402988,8.786275788,47.12177077,14.17459852,3.324381338,-126.6924068,-122.7417994,3.950607399,10.79974425,6.849136856,12.40220174,8.451594344,,
Inari,13,09IDL31,09IDL31,DL Whitefish,0,0.524,-29.00430488,-28.60259303,8.020181161,46.39008189,14.58615284,3.180419292,-131.9608642,-130.9474903,1.013373877,6.421635559,5.408261682,8.008172365,6.994798488,,
Inari,13,09IDL35,09IDL35,DL Whitefish,0,0.535,-26.376979,-25.69391102,8.194460989,46.5178958,14.02098829,3.317733018,-123.542992,-114.8902575,8.6527345,10.60614001,1.953405505,12.20350821,3.550773713,,
Inari,13,09IDL43,09IDL43,DL Whitefish,0,0.577,-27.42017513,-26.95536217,8.512032506,46.31799414,14.42841707,3.210192353,-129.3933693,-124.1441952,5.24917403,7.360137506,2.110963476,8.93300302,3.68382899,,
Inari,13,09IL x IV1,09ILxIV1,Hybrid Whitefish ,0,0.596,-27.94121884,-27.32179906,8.721872188,46.47887288,14.14616726,3.285615957,-128.5331097,-121.2168899,7.316219758,9.659547098,2.34332734,11.23800664,3.921786883,,
Inari,13,09IL x IV2,09ILxIV2,Hybrid Whitefish ,0,0.551,-24.99526418,-24.4513527,9.010400958,46.39474718,14.28264134,3.248331038,-126.9611887,-122.6209814,4.340207363,8.536550264,4.196342901,10.10524033,5.765032966,,
Inari,13,09ID x IV1,09IDxIV1,Hybrid Whitefish ,0,0.523,-29.86698888,-29.19384767,8.831532027,45.8878164,13.85216608,3.312681651,-132.4288362,-127.2501278,5.178708396,10.45850747,5.279799077,12.0522753,6.8735669,,
Inari,13,09IL x IS1,09ILxIS1,Hybrid Whitefish ,0,0.572,-26.88506426,-26.48413116,9.457319183,45.78971025,14.39902915,3.18005539,-124.6404845,-121.5926149,3.047869629,6.410053092,3.362183463,7.996815121,4.948945492,,
Inari,13,09IPE1,09IPE1,Perch,0,0.521,-23.60258185,-22.98278606,6.948191478,46.78636881,14.23894163,3.285803821,-143.823058,-140.1528451,3.670212893,9.665139244,5.994926351,11.2436816,7.573468702,,
Inari,13,09IPE2,09IPE2,Perch,0,0.57,-25.64964522,-25.04127976,8.270170632,46.00749048,14.02623452,3.280102753,-133.4140543,-128.9001549,4.513899323,9.495143017,4.981243694,11.07132034,6.557421018,,
Inari,13,09IPE10,09IPE10,Perch,0,0.54,-26.22013325,-25.76586839,9.615425651,46.62493731,14.54676494,3.205175688,-121.7092083,-116.6579866,5.051221609,7.203256635,2.152035026,8.77777446,3.726552851,,
Inari,13,09IPE22,09IPE22,Perch,0,0.561,-28.81954139,-28.32315405,7.59692048,45.86390317,14.22001683,3.225305828,-131.9239407,-126.5618921,5.362048559,7.829737996,2.467689437,9.399190893,4.037142334,,
Inari,21,09IHN6,09IHN6,Lake trout,0,0.554,-28.93190798,-27.29472188,11.9174612,51.65628778,13.27940159,3.889955991,-118.8581253,-101.9365422,16.92158313,24.79443395,7.872850824,27.99641963,11.0748365,,
Inari,21,09IHN11,09IHN11,Lake trout,0,0.529,-28.71737223,-27.35134198,11.92008977,49.85140753,13.44521885,3.707742364,-112.2677182,-94.74696164,17.52075657,20.76249415,3.241737582,23.23474074,5.713984166,,
Inari,21,09IHN19,09IHN19,Lake trout,0,0.579,-22.67632392,-22.18990383,10.61359828,47.90877896,14.87610442,3.220519135,-104.6929384,-92.77792969,11.91500876,7.681497036,-4.233511724,9.251778105,-2.663230655,,
Inari,21,09IHN21,09IHN21,Lake trout, originally coded as 09IHN18,0.591,-24.81975269,-24.38580359,11.57764863,47.88636846,14.98528826,3.195558712,-106.4756165,-98.11502453,8.360591938,6.901101382,-1.459490556,8.479519918,0.11892798,,
Inari,22,09IR13,09IR13,Arctic charr,0,0.516,-28.77195092,-27.06957849,12.08782469,52.63292857,13.3704101,3.936523125,-104.5780156,-101.8076864,2.770329219,25.76368285,22.99335364,29.1775456,26.40721638,,
Inari,22,09IR15,09IR15,Arctic charr,0,0.53,-30.15068148,-27.80792576,12.25002958,53.58293002,12.00663188,4.462777784,-135.6294982,-83.03700168,52.5924965,35.28473123,-17.30776527,41.63129391,-10.96120259,,
Inari,22,09IR18,09IR18,Arctic charr,0,0.577,-26.93550617,-26.39805357,10.82766495,48.66188262,14.99511683,3.24518196,-115.8478062,-105.9436753,9.904130884,8.440489527,-1.463641357,10.00897237,0.104841489,,
Inari,22,09IR19,09IR19,Arctic charr,0,0.576,-23.55055737,-22.99869625,8.794495077,48.49986326,14.91286862,3.252215552,-119.2784472,-112.4349717,6.843475449,8.654782094,1.811306645,10.22386223,3.380386782,,
,,,,,,,,,,,M,3.29,,,14.53930595,9.789876131,-4.749429819,11.37035435,-3.168951596,,
