Tissue,Species,Site,Fish length (cm),Fish weight (gram),W/L^3,Sex (M/F),Maturity,Codelake,d2H water,Sample#,Lipid % CN,Lipid % H,Lipid % AVG,Lipid (Mc2),MC2 difference  d13C,MC2 d13C,Fry difference d13C,Fry difference d2H,Fry Modelled d2H,Residuals,d13C,d15N,%C,%N,C/N,d2H
WF,Vendace,Shore,14.9,32.1,0.009703898,F,M,ALJ,-79.50001648,2,21.21811351,23.92302646,22.57056998,28.94267992,2.845324659,-29.41518272,2.789129475,46.88925095,-109.6910546,14.79385297,-32.26,11.39,43.69,8.76,4.99,-156.58
WF,Bleak,Shore,18.9,49.1,0.007272707,F,M,ALJ,-79.50001648,8,17.82158098,24.16687866,20.99422982,30.21846377,2.945321478,-26.89166397,2.888014029,48.55164157,-126.0775275,16.41216723,-29.84,9.12,43.48,8.51,5.11,-174.63
WF,Roach,Shore,19.5,91.4,0.012326573,F,M,ALJ,-79.50001648,15,8.430404738,8.562325767,8.496365253,18.00271558,1.953499455,-27.38025714,1.910569962,32.11941045,-92.93585207,-3.730660993,-29.33,11.14,40.53,9.82,4.13,-125.06
WF,Perch,Shore,12.5,22.2,0.0113664,F,I,ALJ,-79.50001648,24,8.573702009,7.241292909,7.907497459,14.25806568,1.633355969,-28.43671763,1.596648876,26.84194853,-98.94566089,8.641747543,-30.07,12.33,35.07,9.02,3.89,-125.79
WF,Bleak,Shore,14,21.1,0.007689504,F,M,ERA,-70.56410441,3,21.63869694,3.091344236,12.36502059,35.1093176,3.321330943,-26.82314823,3.260521734,54.81402824,-103.1920575,30.12024659,-30.14,10.61,51.46,9.16,5.62,-158.01
WF,Roach,Pelagic,13.1,22.7,0.010097456,F,M,ERA,-70.56410441,11,13.67218282,2.057445508,7.864814165,20.67140512,2.176899395,-27.42867822,2.130083688,35.80974977,-106.3730957,-3.938944473,-29.61,12.1,45.85,10.63,4.31,-142.18
WF,Perch,Pelagic,15.6,45.1,0.011879625,F,M,ERA,-70.56410441,16,9.824422963,4.48465775,7.154540356,14.05678148,1.615921913,-26.98277097,1.579575721,26.5549244,-98.29727458,5.677178137,-28.6,14.09,39.08,10.09,3.87,-124.85
WF,Perch,Shore,19.8,109.6,0.014119359,F,M,ERA,-70.56410441,34,8.866995074,8.6521181,8.759556587,12.81961697,1.508251883,-26.93324777,1.474184927,24.7831546,-88.35667985,17.08656408,-28.44,12.86,36.65,9.64,3.8,-113.14
WF,Vendace,Profundal,21.9,84.7,0.00806401,F,M,HAM,-69.84390886,4,18.83827332,16.43005868,17.634166,26.55474974,2.655970093,-31.18726914,2.602088915,43.74483192,-101.9062051,-7.404521246,-33.84,8.12,48.17,10.09,4.77,-145.65
WF,Roach,Pelagic,15.9,35.1,0.008732041,F,M,HAM,-69.84390886,17,8.265770219,7.708947886,7.987359053,11.84216138,1.422553829,-27.25521396,1.390362912,23.37398679,-89.3706398,-1.328894778,-28.68,7.17,41.08,10.97,3.74,-112.74
WF,Perch,Profundal,21.3,115,0.011900331,F,M,HAM,-69.84390886,26,11.03434662,8.266079726,9.650213175,18.82177767,2.022479036,-29.16095993,1.978309542,33.25820956,-84.72924032,10.9245317,-31.18,10.08,42.19,10.09,4.18,-117.99
WF,Smelt,Pelagic,12.5,11.7,0.0059904,M,M,HII,-69.77996968,8,7.65802269,6.564280406,7.111151548,11.79626611,1.418516197,-27.50106429,1.386415022,23.30761711,-119.1790398,10.6474459,-28.92,15.38,44.14,11.8,3.74,-142.49
WF,Vendace,Pelagic,16.6,52.7,0.011520899,F,M,HII,-69.77996968,19,25.31568228,25.41784241,25.36676235,37.56935548,3.506175571,-27.07627289,3.444040132,57.89923467,-116.9388016,,-30.58,13.17,47.54,8.05,5.91,-174.84
WF,Ruffe,Shore,12.3,25.8,0.013864505,F,M,HII,-69.77996968,27,24.9800638,3.216019417,14.09804161,50.82412535,4.455795579,-31.05627653,4.390977712,73.81860817,-116.4837633,21.9039763,-35.51,16.64,52.06,6.47,8.05,-190.3
WF,Roach,Pelagic,20.1,87.3,0.010750436,F,M,HII,-69.77996968,38,16.88950059,2.531137003,9.710318796,28.95198951,2.846057276,-26.32574157,2.789853668,46.90142566,-93.68603916,-9.535825942,-29.17,10.19,44.51,8.92,4.99,-140.59
WF,Perch,Pelagic,18.9,79.5,0.011775564,F,M,HII,-69.77996968,46,13.38,,13.38,18.26136264,1.975322123,-26.82738757,1.931996472,32.47962069,,,-28.8,15.73,44.24,10.68,4.14,
