Tissue,Species,Site,Fish length (cm),Fish weight (gram),W/L^3,Sex (M/F),Maturity,Codelake,d2H water,Sample#,Lipid % CN,Lipid % H,Lipid % AVG,Lipid (Mc2),MC2 difference  d13C,MC2 d13C,Fry difference d13C,Fry difference d2H,Fry Modelled d2H,Residuals,d13C,d15N,%C,%N,C/N,d2H
M,Ruffe,Shore,14.7,37.6,0.011836842,F,M,HIR,-85.84591284,19,3.684103399,4.040609137,3.862356268,4.28851086,0.740894312,-33.13723264,0.725573842,12.19793282,-106.0241984,5.478927405,0.456401417,0.37706395,-7.68996793,-1.714698365,-0.151739119,17.67686022
M,Pike,Shore,33.3,201,0.005443314,M(?),I,HIR,-85.84591284,24,2.46,3.101376236,2.780688118,1.748102902,0.503627602,-30.47786302,0.494988156,8.321458032,-102.4354572,3.97302644,0.468911638,0.363980563,-1.809473029,-0.232389483,-0.076404276,12.29448447
M,Bleak,Pelagic,13.6,17.8,0.007076252,F,M,JOR,-76.85762,2,4.876604146,5.167906696,5.022255421,7.250665621,1.012377396,-28.44100834,0.989924039,16.64203727,-116.1971912,3.882824562,0.652091734,0.67167713,0.513343646,1.344130353,-0.280478739,20.52486183
M,Vendace,Pelagic,17.4,48.5,0.009206488,F,M,JOR,-76.85762,10,9.58,10.1443299,9.862164948,7.00579564,0.99014235,-30.51056592,0.968252624,16.27770983,-121.2667336,2.762316822,0.920881347,-0.210110042,-23.64379187,-5.917683302,-0.387115675,19.04002666
M,Roach,Pelagic,14,25.8,0.009402332,F,I,JOR,-76.85762,14,3.972436157,4.060812162,4.01662416,5.568686096,0.858897588,-29.39196346,0.840409548,14.12848508,-122.6204699,2.582050941,0.802305267,-0.072556569,-2.220008572,1.046872114,-0.387529092,16.71053603
M,Perch,Pelagic,15.7,38.5,0.009948595,F,M,JOR,-76.85762,21,3.801051355,3.824167159,3.812609257,2.541517676,0.578177342,-28.20367341,0.567393844,9.538701084,-114.6725788,2.878935241,0.470946004,-0.100080766,0.553309212,0.277331043,-0.024149005,12.41763633
M,Perch,Shore,20.4,124.5,0.014664891,M,I,JOR,-76.85762,27,3.371693923,3.535651149,3.453672536,3.304443917,0.649478053,-30.35665907,0.636682389,10.7035405,-115.5126324,-0.433710522,0.463797417,-0.167371314,-3.168259599,-0.505773502,-0.110892285,10.26982998
M,Pike,Shore,43.3,470.1,0.00579064,F,M,JOR,-76.85762,38,2.46,2.614244545,2.537122273,0.459286239,0.381652413,-29.34727225,0.376609503,6.33134376,,,0.396991996,-0.081110313,-9.798389023,-2.620547851,-0.12478947,
M,Roach,Profundal,15.3,31.3,0.008739167,M,M,PAN,-72.34988051,2,3.18,3.669037814,3.424518907,2.635556612,0.586986225,-29.57602901,0.575952097,9.682577539,-105.9760262,6.241401773,0.419873733,0.199250147,-9.867775408,-2.450632412,-0.159876509,15.92397931
M,Bleak,Pelagic,14.5,18.9,0.006199516,M,M,PAN,-72.34988051,6,4.44,6.345127496,5.392563748,3.129867029,0.633195727,-27.9238585,0.62085625,10.4374805,-110.6002205,13.47420644,1.524116889,-2.542381982,-47.04537291,-14.18613359,-3.291977861,23.91168693
