Tissue,Species,Site,Fish length (cm),Fish weight (gram),W/L^3,Sex (M/F),Maturity,Codelake,d2H water,Sample#,Lipid % CN,Lipid % H,Lipid % AVG,Lipid (Mc2),MC2 difference  d13C,MC2 d13C,Fry difference d13C,Fry difference d2H,Fry Modelled d2H,Residuals,d13C,d15N,%C,%N,C/N,d2H
M,Bleak,Pelagic,13.6,17.8,0.007076252,F,M,JOR,-76.85762,2,4.876604146,5.167906696,5.022255421,7.250665621,1.012377396,-28.44100834,0.989924039,16.64203727,-116.1971912,3.882824562,-28.8,11.4,47.93,14.91,3.21,-112.31
M,Vendace,Pelagic,17.4,48.5,0.009206488,F,M,JOR,-76.85762,10,9.58,10.1443299,9.862164948,7.00579564,0.99014235,-30.51056592,0.968252624,16.27770983,-121.2667336,2.762316822,-30.58,10.92,24.31,7.86,3.09,-118.5
M,Roach,Pelagic,14,25.8,0.009402332,F,I,JOR,-76.85762,14,3.972436157,4.060812162,4.01662416,5.568686096,0.858897588,-29.39196346,0.840409548,14.12848508,-122.6204699,2.582050941,-29.45,10.47,45.14,14.94,3.02,-120.04
M,Perch,Pelagic,15.7,38.5,0.009948595,F,M,JOR,-76.85762,21,3.801051355,3.824167159,3.812609257,2.541517676,0.578177342,-28.20367341,0.567393844,9.538701084,-114.6725788,2.878935241,-28.31,12.46,47.24,14.58,3.24,-111.79
M,Perch,Shore,20.4,124.5,0.014664891,M,I,JOR,-76.85762,27,3.371693923,3.535651149,3.453672536,3.304443917,0.649478053,-30.35665907,0.636682389,10.7035405,-115.5126324,-0.433710522,-30.54,12.1,43.11,13.52,3.19,-115.95
M,Pike,Shore,43.3,470.1,0.00579064,F,M,JOR,-76.85762,38,2.46,2.614244545,2.537122273,0.459286239,0.381652413,-29.34727225,0.376609503,6.33134376,,,-29.33,12.87,36.36,11.94,3.05,-106.49
M,Roach,Profundal,15.3,31.3,0.008739167,M,M,PAN,-72.34988051,2,3.18,3.669037814,3.424518907,2.635556612,0.586986225,-29.57602901,0.575952097,9.682577539,-105.9760262,6.241401773,-29.74,13.54,36.11,11.61,3.11,-99.73
M,Bleak,Pelagic,14.5,18.9,0.006199516,M,M,PAN,-72.34988051,6,4.44,6.345127496,5.392563748,3.129867029,0.633195727,-27.9238585,0.62085625,10.4374805,-110.6002205,13.47420644,-27.03,8.37,-0.62,-0.08,,-97.13
M,Perch,Pelagic,14.2,27.5,0.009604343,F,I,PAN,-72.34988051,11,3.77016129,3.969218307,3.869689799,2.407466645,0.565610521,-29.8247017,0.555185567,9.333462504,-113.0022392,18.14662045,-29.97,13.4,46.64,14.4,3.24,-94.86
M,Perch,Shore,18.7,88.2,0.013487882,F,M,PAN,-72.34988051,18,3.242388296,2.585663233,2.914025764,2.294894941,0.555048317,-29.49193646,0.544925615,9.160978056,-102.1873222,-5.526205774,-29.58,13.72,45.18,14.4,3.14,-107.71
M,Bleak,Pelagic,15.7,36,0.009302583,F,M,PUS,-68.19082365,8,6.92,10.35689293,8.638446466,5.365065941,0.840197516,-27.96792652,0.82220456,13.82243322,-113.5981041,-3.022039887,-28.3,13.16,42.08,13.43,3.13,-116.62
